x,y
"

低配使命召唤？
一开始讲背景的CG严重掉帧，只能跳过，游戏中倒是没事，高配稳定60
还有按E过一些障碍时，必须要让队友先过，不然没提示不让你过
如果把队友远远地卡住，那到过障碍时你得等队友慢慢悠悠的走过来，然后系统才让你过
不过免费领的，挺好的
-------------添加-----------------
非常短，只有7章，最后的boss战（？？？）草草了事
全部剧情大概只有4小时",推荐
国土防线一Win11都进不去。因为这个游戏太老了，没办法，Win11都提示进不去。这个游戏年代已经很久远了，现在的Win11玩不了，有可能那个。 Win7才能玩。我游戏都进不去。怀疑你的硬件太过于先进了，不兼容。现在的游戏都很兼容。现在您以前的游戏都不兼容Win11怎么了？这个游戏我一点都进不去。 上次我试过了一次都不好使进也进不去。以前的游戏只能用用以前的显卡玩，肯定能进去。现在那么**的显卡名这个游戏都进不去。简直白买了国土防线二没白买。你带我的电脑进不去说你不兼容为什么这样？这个跟那个二进制领域一样进个游戏这么费劲现在的游戏进的不费劲。你现在游戏打开也打开不了好费劲。,不推荐
"免费获取的产品

steam补票了，
实名怼朝鲜…


缺点流程略短，环境过于线性…",推荐
垃圾，玩一会鼠标就不能动，得退出游戏重新进入才能玩，一会又不行了,不推荐
中规中矩,推荐
通关。画风看久了像是漫画风，参考无主之地。,推荐
喜加一，你懂得,推荐
其实还行，就是太短了,推荐
刚刚购买感觉还不错，但是我的中文呢，没有中文我看不懂他在说什么,推荐
"

手感有点差，无法调整视角真的很晕。流程中如果不加入报纸这个收集品的话会更加流畅。再说了金门大桥上两台自动枪塔居然能拦得住步兵战车？我佛了。

玩玩单机还，凑活吧，白磷弹这么用真的大丈夫？",推荐
"仅对单人战役评价：
说真的，我都搞不懂制作组是不是专门写这样一个战役剧情，来黑许多FPS游戏的单人部分。虽然还是美式英雄主义，但是有点用力过猛甚至滑稽的味道。NPC主角非常莽，以至于NPC队友都在吐槽他“Not again？！”。所以单人部分甚至让我感受到一种蕴含在荒诞中的快乐。
战役的难度并不高，但是携带的子弹容量比较少。爬梯子的设计比较脑残。大家说到的闪退bug没有遇到过。但隔一段时间会卡1-2秒，所有的画面静止。",推荐
"免费获取的产品

前段时间免费赠送的喜加一，游戏主线流程并不长，四到五个小时左右。
作为一款11年的FPS游戏，画面尚可、爆炸场景和燃烧和燃烧的场景不怎么样。
射击手感个人感觉很差，聊胜于无的感觉。场景互动能力也极差。
敌人AI不高但是枪法奇准，队友的愚蠢让他们比敌人更致命。
单机部分主线剧情没头没尾，各种没有承接和莫名其妙的地方，开场的CG有点意思蛮不错的，但除此之外剧情没什么吸引人的地方。
总体游戏性一般，没官中、多人也没尝试。免费喜加一，给个好评。",推荐
在哪退款？OVO,不推荐
"

背景故事很新奇，朝鲜人的英语还是太溜了，口音都快没有了？？？？操作很流畅，打击感也很强，汉化嘛，六级英语足够了，汉毛化。。。。",推荐
"

感觉不行，操作手感很差，画面也很奇怪，虽然是免费拿的，但是真的不是很推荐。。",不推荐
这游戏贼牛逼，不能切全屏就算了，动不动就无响应，再见了您嘞。,不推荐
"三小时通关，拯救美利坚
优化确实有问题，经常掉帧，不开垂直同步能把人晕吐",推荐
"画面:一般化，及格分，对画质有要求的玩家可以忽略了。
剧情:微微狗血，过程挺谜
总体:比上不足比下有余，COD粉玩过以后大多会觉得好像吃了一口山寨盗版的翔(我相信铁打的战地粉应该连看都不会看一眼)。从2代的发行量和热度来看就知道这游戏设计一定哪里出了问题，而且问题也不少。

相信去玩这款游戏的人，都是冲着背景: 北朝突然崛起然后暴打美帝一顿，建立""专政的共产主义""，然后用红色的革命之火把整个北美大地燎原了一遍。嗯，看似很厉害，但是现实中三胖一定会哭着喊着说臣妾做不到，然后继续屁颠颠地蹲角落里，一边摆搭火箭卫星导弹核武器的发射基地模型，一边乐呵呵的看毛爷爷的《论持久战》。
之前开发商也脸上笑眯眯地透露了:""咱们游戏原本假想敌不是朝鲜，朝鲜人民你们不要那么激动，放心玩，敌人不是你们，原本的设定就不是你们。(虽然朝鲜游戏玩家是稀有品种)""话都说到这份上了，玩家们心里还能没有点数吗？不过也没事，游戏无国界，隔壁男朋友4就做了一个很好的典范，然后就被封杀了，死得透心凉…虽说现在开放了，烂橘子上也可以光明正大地玩了，其实文化部革命老干部们依旧""我看到你们了。""…………这里就不赘言了。
游戏的品质问题，一般化，不能再高了。一开始打得时候我可能因为剧情ip新颖，没注意到射击手感，等几枪子开过，什么鬼？觉得不对劲了，突然给我一种似曾相识又突然一新富有乡土气息的僵硬手感。我特么玩的是威力加强版的VR特警之美帝游击队吗？

最后几句简短有劲的话:说实话虽然我知道假想敌是东方某个充满共产主义气息的超级大国，但是在看到我们朝鲜革命军的突如其来的主战，那种再熟悉不过仿佛放学回家看到在隔壁王大婶包子铺穿着从某亲戚那借来的衣服的老爸嘴里叼着个包子还向你喊着""儿砸快来吃包子。""的感觉扑面而来。……制作商你要改就认真点改，民主悍马民主M4我都可以接受，但是你把这个直接照搬的设定……我觉得妙啊，真妙，""国土防线之此地无银三百两之我们的假想敌不是PRC""。 好的我的简单叙述就是这么多。
划重点:这款游戏娱乐一下，突突突就行。",推荐
为什么下载了 打不开啊,推荐
小学去网吧偶然点开了这款游戏，如此六批的剧情一直深深刻在脑海里。如今6年多过去，重新温故了一遍，TMD才发现，辣眼睛的不止有剧情。。。。。,推荐
"免费获取的产品

emmmm 该怎么说呢？输入法一直弹出来按shift吧，奔跑键也是shift。。。输入法搞得我欲哭无泪，游戏还是不错的。。。联机好歹还有人。可以可以。",推荐
作为一款古老的游戏，在现在看起来确实有点格格不入（画质），但是手感还算可以。但是我很想吐槽这个游戏的剧情，北朝鲜入侵美国？怕是有被害妄想症，游戏从头到尾燃得莫名其妙，搞得我尴尬的不行。也许美帝人民就喜欢这种调调/笑？,推荐
"

喜加一",推荐
"free game, why not.",推荐
"

老游戏了，还行",推荐
打完了单人任务，大概用了4个小时。标准的美式射击游戏，全程突突突，从突击步枪到狙击步枪到车载机枪到直升飞机。游戏BGM、画面渲染、关卡设计、游戏剧情、射击手感都非常美国。游戏质量不错，画面及优化是花了功夫的。多人模式因为延迟太大没有体验，但是看起来有很多熟悉游戏的影子。总之，这个游戏是个教科书级别的标准美式第一人称射击游戏，包括了全部的经典操作和玩法。玩这个游戏的感觉就像，吃了一碗康师傅红烧牛肉面。没有感到太多惊艳，但是，就是这个味儿！,推荐
"免费获取的产品

因为是免费送，所以玩了玩，说实话……真的是玩不下去。",不推荐
"汉化补丁在哪
",不推荐
打不了汉化 就很伤心,推荐
"以玩过现代fps的角度再体验这款游戏就很难受了，枪械无后座打击感比较差。
但是总感觉这里面的剧情有一天能成真。
",不推荐
"

屎一样的射击手感",不推荐
"对这游戏咋说呢。。是对win7用户不好吗。。玩着玩着会爆炸。。人物的脸会有白点。不过对游戏剧情来讲我是表示悲伤。
昨天的喜加一拿的游戏。。
",推荐
"

目前还没有找到一款能用的汉化，字幕还是全大写的，硬着头皮玩了半个小时不到就开始头晕了，不知道是晕3d还是时不时的卡顿造成的。目前感觉剧情还算可以",推荐
多人模式里感觉鼠标操作有点飘，飘的起飞，不过还是很刺激的,推荐
"免费获取的产品

这也就是hb免费喜加一
这要是自己掏钱买的肯定退款了

11年的游戏 人物动作依然做的如此僵硬也是没谁了
一颗手雷过去 敌人全都是一个动作 都不带换样的

队友更是蛋疼 头顶空气墙 脚下如生根
无论如何你都别想再狭窄空间里挤到队友前面去

武器居然美制的居多 怕不是美帝支援朝鲜侵略自己
枪声也有些奇怪 捡到把枪 开了几枪
发现只有第一枪有比较响亮的声音
后续的射击在战场环境下几乎听不清

敌人ai也是各种傻 傻站着让你打那种傻

最神奇的就是子弹飞过来的效果
老哥啊 11年啊
制作组能把敌方射出的子弹做成跟FC机上那种白色圆子弹一样的效果也是够强了
就连FC的90坦克人家射出去的子弹都是一头尖另一头平的子弹型啊
你这飞过来一条线的圆点是闹哪样啊
我还以为你在致敬魂斗罗呢

打了会 首先发现的问题就是地图貌似是区域性的
强行用“跳断崖”、“开门”的方式给你把地图分成若干小区块
开门更是一大槽点 各种开门不用手 要么踹门 要门胳膊肘撞门 就是不乐意用手
物理引擎也有问题 尸体偶尔会鬼畜 自己也偶尔鬼畜
挤到角落里貌似还会掉血

爬梯子 跳地道什么的总得等提示才能进行
如此小心翼翼的让玩家等待怕不是在强行决绝玩家爬早了或跳早了和ai卡住的bug

这游戏如果能坚持打通你也绝不会打第二遍
打通了也顶多是听了个美国人YY的朝鲜打美帝
美帝苦惨还得装英雄的故事而已 毫无爽快感
要是没中文补丁我可能连第一遍都不想打
thq解散制作组不是卸磨杀驴啊 是这玩意真心烂 没内涵的烂
玩了就一会 没欲望想玩下去了
这游戏10分能有个3.5分就不错了
真的不推荐玩",不推荐
"说两个要点，没有汉化，找不到任何汉化包能用这个版本，第二点卡顿。
steam没有中评 如果是三个选项很多游戏我想给中间项，这个游戏如果你是几块钱入的，3或6块，最好是三块那么他是值得推荐的，如果是原价或者以前更贵的价格是不值得的。这游戏以前玩的是破解版，我忘了哪一年，当我玩完的时候突然想起来，我以前玩游戏特别喜欢截图，而且存QQ空间，然后刚才去看了一下是15年玩的，那个时候玩的是中文版。
这个游戏和我在20年，和2革命一起打包买的。买了之后2就玩了几个小时就不玩了，觉得有点卡，是2游戏优化不行，然后就不玩了。配置是r5 1600x和rx580.
然后再说这个1，我15玩的时候电脑配置是i5 4460和r7 290吗，那时候1680×1050的分辨率。也是高画质一点不卡。现在我的配置是r5 7600x和 6700xt玩这个11年的游戏竟然200多帧却一卡一卡的，不知道是怎么回事，理论来说如果卡顿，帧率都在60以内 55-40反复跳。我都200多为什么还卡顿，邪门。冲这点其实应该差评的
然后我还要说，20年买了之后就玩了2，完了几个小时不玩了，21还是22年，我玩这个游戏玩了几十分钟，我忘记我那时候是直接英文玩的，还是找了汉化补丁。
就在我昨天玩的时候，我找汉化补丁，我是那也找不到，找到了2个还是打上去就乱码都是方框，然后我一想 有没有可能跟版本有关系，然后我一看这游戏的版本竟然是1.5版本，汉化补丁是1.0版本，难怪不好用。
但是让我不理解的是，我很多东西别人找不到我都能想尽各种办法找到，多费劲都能找到，除了黑客才能找到的以外。这个补丁我死活找不到了。就那两个还不好用，游戏太老，没人在做补丁了。
那么到底是补丁太老，还是游戏什么时候更新了？所以说我忘了。我21 22年玩的时候，我打没打补丁，如果打了，那就可能是尽三年游戏更新了版本。
要么说起来也不太可能吧，这么老的游戏，多人都没人玩了，能更新吗？那就有可能我21 22年玩的时候我也没打补丁
正常来说游侠网一定会有补丁，最离谱的是游侠上竟然没有国土防线的任何内容了，修改器下载补丁什么都没有 空了。
不知道什么情况。想入的考虑一下。
我想了办法，游戏正常玩，然后用翻译软件在游戏里截图直接翻译，然后每次都得按快截图选区域太麻烦，没法按一下键然后全屏直接识别英文翻译，后来我正常玩，把游戏截图然后玩完了在用软件翻译图片。反正游戏短，也好用，有个大概意思就行了。
就说这么多。还是推荐把。",推荐
作为喜加一不错，真的要玩的话还是算了，智障的队友，百发百中的敌人，莫名其妙的剧情，动不动卡住的模型，本作的武器挺多的，但是一个样式的枪算一种子弹，结果就是动不动就要换枪，枪械射击时的手感太差，瞄准很迷，没有中文什么的和这些一比较反而不是个事儿了。,不推荐
"玩了一下，退款了
这款游戏确实能反应战争的残酷
少见的加入儿童这样的群体
操纵极为辣鸡，很不爽，人物动作如僵尸一般，机械的要死，剧情我就不说了
",不推荐
美国佬经典意淫,推荐
"蛮好的一部作品，除了世界观设定比较有趣，整体剧情打下来还是挺有代入感的，气氛渲染的很到位
至于bug反正我自己是没碰到......",推荐
这手感真的可惜了这个这么新颖IP,推荐
"我们需要中文
We need Chinese
中国語は必要
우리가 필요한 중국어
Nous avons besoin de chinois
Wir brauchen chinesisch
Necesitamos chino
potrzebujemy chin
Precisamos de chinês
Нам нужно китайский
เราต้องการภาษาจีน
Χρειαζόμαστε κινέζικα",推荐
单人战役玩起来还满刺激的啊（虽然流程有点短），还有开直升机的任务，游戏也没遇到什么严重的bug玩起来正常，枪支只能靠捡，种类还可以，剧情方面就是朝鲜入侵美国了然后美国人站起来反抗的故事之类的，多人联机目前没玩。,推荐
7.5/10,推荐
"哇，这盲僧真帅...

不好意思走错片场了...",推荐
"免费获取的产品

手感贼差我就像在打水枪",不推荐
第五关中间有很长一段潜行流程没有存档点，不要乱开枪乱跑，不然就得整个重来。,不推荐
"Somebody still remeber the ONLIVE server?
I'm the so calles ""worlds's the best drone marker"" there.
lol",推荐
"

典型的画虎不成反类犬
剧情白开水
飘忽的手感
迷之bug.......潜行关卡也能大摇大摆走在敌人面前......
极短的单机模式和鬼了的多人
没有任何理由好评啊，尽管是免费送的.....",不推荐
"

还可以吧，中规中矩， 越往后的剧情越有趣，但通关只需要5个小时，意犹未尽。任务其实是有些单一的，剧情上如果能更丰富，设计的关卡多一些会更好玩。",推荐
"目前打通前两关感受
优化：跑的动60fps的COD12，跑不动这游戏的低效55fps
射击手感：其他fps枪械后坐力大体上都是挺容易掌握的（c8延长2.5除外）但这游戏给我感觉就是瞄准射击时用cod一样的后坐力，然后在强制性的让瞄准镜左右偏移，而不是后坐力产生的偏移
横向画面对比略差：这玩意基本上凭个人感觉，但这极高的锐利度看着很难受啊，额且能让我轻微晕3D的游戏这是第二个（第一个是小时候玩的三角洲特种部队）
综合6/10
剧情方面，难得再次看见朝鲜打美帝，还是入侵美国本土+0.5
综合：6.5/10",不推荐
玩过国土防线2那游戏就不用说了太垃圾了看评论就知道，但1却出乎我的预料，作为11年的游戏 现在玩也没感觉画质有评论说的那么烂不知道他们有没有开最高画质，游戏没有中文，网上找汉化打了也没用，我就直接开玩，发现没有中文并不影响，只要跟着npc走就行了，提示按什么键按了就行了，也不用管剧情，因为本来就没多少剧情，大致也能看懂。但内容实在是太少了，我居然3.5小时就通关了，其中还死了很多次重玩了不少片段，还有敌人的伤害有点看不懂 如果一不小心没发现有人躲在附近，他起身居然能把你秒了，这也是我死了这么多次的原因，所以不能太硬刚不然7.8个敌人全都打你死的特别快。另外有的评论说bug多，其实玩下来还好只是有的障碍物会卡人物一下，通过某个狭小处必须让ai先走，最好别太靠近ai 不然会他会卡你位置。射击手感是一点问题都没有，不知道为什么有人说是屎一样的手感。最后一关我尤其喜欢 实在太爽了，可谓是这个游戏出彩的一关也是很类似其他优秀射击游戏的一关，总体这个游戏10分能有个6分吧。68块确实不值，主要还是内容太少，剧情太简单了除了一点小问题 其他方面都中规中矩，联机我也试了下，服务器不多ping太高实在玩不了，如果服务器好一点 游戏变免费 主打联机 多点玩法 我觉得跟战争前线之类的网游有的一拼。,推荐
不好玩!,不推荐
全是激光枪,推荐
"作为2011年的游戏
仅单机剧情不是很长
建议打骨折最低价入手
纯单机手感放到2020年来说有些怪异
不过总的来说游戏质量还不错",推荐
"

当时好像是白嫖的？我不管，你给我白嫖，我就好评

还是说下内容吧，剧情就不扯了，朝鲜入侵美国是真的NB
玩起来手感有点像cod4或者6，后座不大，打击感8太行。毕竟老游戏也不能要求太高，听说多人模式还不错但是我延迟太高了没法玩，线上应该也没几个人在玩了",推荐
朝鲜占领美国，主角化身游击队员与朝鲜人民军斗智斗勇。玩法类似于使命召唤系列，很像使命召唤4，但射击手感不如使命召唤,推荐
"免费获取的产品

画面作为一款2011年的游戏还算不错，枪械手感与打击感一般，任务风格偏向于使命召唤系列的那种线性流程，世界观设定让人眼前一亮，朝鲜称霸世界奴役美国的设定，个人感觉应该是在讽刺美国的霸权主义，剧情很一般，主角英雄主义的献身很生硬，感觉是为了结束而结束。
一款类似于使命召唤风格流程的游戏，整体游戏素质一般般，不太推荐购买。",不推荐
6个小时完结，利用午休时间每天打半个小时，740的显卡居然可以很流畅的跑，剧情不错，音乐不错，画质凑合。枪支的音效声音小感觉不刺激。等二代降价吧~ 总体4/5分吧,不推荐
"

画面还可以，光影其他的都还可以，问题是
找不到有效的汉化补丁玩啊PPPPPP啊！！！！",推荐
"朝鲜差点统一世界，可以说十分幽默
当然看装备完全明白是neta的中国

射击手感还不错，但关卡的设定完全经不起推敲
遥控车强到离谱，秒天秒地

时隔6年我终于能在Steamdeck上捡起开头那把手枪
噢，PC还是不行
",不推荐
"是一款被低估的优秀游戏。
短小精悍五脏俱全，唯一的遗憾可能就是战役较短。
战役部分无bug，可放心体验。",推荐
狗屎,不推荐
"

脑洞不错，可惜跟错了公司，让B社来做的话绝对又是一款3A级别大作",不推荐
"我直到通关都没遇见一个bug，射击手感还不错，至于想补票或体验剧情的我只能说仁者见仁智者见智了
",推荐
"剧情挺有新意的，把米国对红色恐怖的描写尽露无遗。其实的确有《国土防线》原著，不过里面入侵米国的国家是另一个比朝鲜更有实力的国家……咳咳。剧本除了感觉Rihana一开始有点圣母外还行，非主角一行人外该挂就挂毫不拖沓。

好了，优点我说完了。

我的第一篇差评评测

很早就D版通了这款游戏，几年前趁着打折补票，然后放着没动。后来等级升级了，个人资料页可以安放成就了，看这游戏里的几个成就挺好看的于是拿来打打。真尼玛后悔。

像COD那样露头挨打，根本不可能。游戏真实的一批，你视角看着的是墙角，其实你的身体（角色体积）已经出去一半了，敌军又个个是神枪手，都不用露头就被打死了。那么可以偏头吗，答：不可以。

简单难度还行，问题是要“游击队”难度才能解的成就，靠墙角==死。最有意思的是，RPG兵又如狙击兵一样，起码在墙边被突击步枪打到了还呻♂吟两下，你能感受到那种刚到墙角觉得自己在掩体里然后被不知从哪冒出来的RPG打中……不对，是狙中的感觉吗，一炮死。露头就被炮狙，猥琐躲起来吧，角色位置不到固定地点敌人无限刷，所以无限检查点重启，通关全靠运气。第五章的最后，游击队难度，你们自己去感受吧。

如果说拿游击队的几个成就，多死几次运气爆棚就过了，真正让我卸游的是铁人成就。不限难度，全程不能死，还他妈的不让检查点重启。有人说你这不是矫情吗，都不限难度，那你去玩简单难度不就好了。好的，让我们看看第二关：

import random

while 玩家还没有卸游:
....喂给他5分钟跳不过的剧情
....喂给他5分钟跳不过的跑路
....if random.randint(0, 1) == 1:
........让他在爬梯子的时候掉出地图 #这样玩家就要从章节头重来
....喂给他5分钟跳不过的剧情
....if random.randint(0, 1) == 1:
........让他在坑道里的时候NPC挡住去路无法开启下一个剧情触发点 #这样玩家就要从章节头重来
....if random.randint(0, 1) == 1:
.......让他被不知道什么时候飞来的手榴弹空爆爆头 #这样玩家就要从章节头重来
....喂给他5分钟跳不过的跑路
....if random.randint(0, 1) == 1:
........让NPC把玩家怼到敌人轻机枪扫射面中让他无法后退 #这样玩家就要从章节头重来
....if 玩家过于固执忍到了最后摧毁两个炮塔的地方:
........让炮塔突然爆发把玩家打死在必经之路上 #这样玩家就要从章节头重来

……非受苦类游戏爱好者，卸了卸了
你要是执意玩，那我祝愿在你的电脑上遇不到BUG……

对了，还有一件事：
",不推荐
"怎么说呢？对这游戏的感觉，我得扯得很远。
必须得提两个人，一个是敖厂长，另一位是早已退隐幕后的老湿。
也必须提两个节目，一个是《囧的呼唤：最烂的FPS游戏》侠盗勇士，当年厂长是拿国土防线这玩意儿和侠盗勇士作比较的，突出的就是一个画面对比和剧情对比，那深情的对视加厂长富有激情的解（喷）说（了），给幼小的我留下了不可磨灭的阴影，当时的我就十分好奇了，奈何当年我那本破笔记本运行cs起源都TM能十分钟弹出，所以只得作罢。这是玩游戏的原因，俗称前情提要。
另一个是老湿的《不吐不快》第二季第二集——山寨啪啪好莱坞，对，“山寨！”，划重点，要考。迄今为止我都记得老湿深情并茂的讲述着The Asylum这个神奇翻拍公司的光荣理念“多劳多得，包产到户，少生孩子多种树”（这句话曾一度成为我的口头禅）并且他提出了一个哲理问题——“山寨的意义是什么？”——这特么也就是我玩了国土防线的感觉，说句大实话我也没啥资格说这句话，因为我个人恨动视恨的咬牙切齿，而动视最出名的是啥？没错就是COD，我就玩过COD4，不管过哪个板块的人都死命吹的上存在，瞧瞧那个重置版让多少人疯狂。但就给我个人感觉，2011年的《国土防线》甚至都比不过2007老版COD4，无论是射击手感还是剧情，这让我不由得感叹，娘哎，你是真的不行啊。
PS：老湿那集不吐不快厂长有出来互动，言论简直了。
PSS：这游戏真不好玩，花了6块钱满足好奇心也算了解我多年的心愿。
PSSS：这个推荐意思是慢慢等，这游戏迟早免费送。",推荐
"免费获取的产品

垃圾的一批的射击手感，还不支持手柄",不推荐
第四章，主角一队人把那辆哥利亚炸了开门的时候，我竟然为了这台机器生起一丝感动。。。,推荐
很棒的一款游戏而且最近打折来了很多NOOB新开了很多服务器（虽然自己也能开）现在即使不要VPN玩下来 也十分流畅这游戏的黑科技就在于延迟500以下几乎不卡，在玩法上我认为在COD和BF之间找到了完美的平衡点，真是COD的快节奏和爽快打击感和战地系列大场面的完美结合！,推荐
初中有幸在XBOX上玩的，当时一直没通关。如今坐下来专心打没想到剧情这么短 。39也算是给青春情怀买单了。,推荐
老游戏了 以前玩的盗版 现在补票 什么都是老感觉 很棒 感觉游戏AI不友好的都是玩的菜 就这么简单,推荐
题材很是噱头，然而实际游戏体验蠢得要死。,不推荐
"产品已退款

本来不3D眩晕的都晕了，而且不支持中文",不推荐
"

如果我看懂了他讲的是什么故事的话，我可能会认为他是个好游戏。",不推荐
"

这2011年的游戏 人物动作，射击手感 还没使命",不推荐
"

真的像使命召唤，和使命召唤一样有蛋疼的输入法问题，它还来了个升级版，一出毛病，马上黑屏，我每当顶着200+ping跟其他人对枪，时不时就TM黑屏，你说气不气，这游戏怪不得免费送，以前老听舍长玩这个，还以为蛮好玩的，没想到我上了贼船。",不推荐
"

垃圾游戏",不推荐
"

剧情：队友不仅傻逼，枪法差，而且还经常卡我位。

对战：服务器感人，即使坐标在美国也没法摆脱在美国服务器掉线问题。",不推荐
优化一坨屎，题材是不错，但是游戏真的不行,不推荐
u1s1 只是单纯想看看北韩入侵USA,不推荐
"尽管敖厂长给了好评，但是游戏中给人的感觉确实不尽人意
一、蜜汁AI
队友总是不射，射出来也射不到敌人脸上，永远需要你去清怪
敌人射的太猛，不管你能不能看见，只要有个小缝敌人就能射你一脸，而且是突突突10秒不停的那种
二、单人剧情
流程很短，即使我中间暂停一段吃瓜去也只打了4.6小时就通关了
即便是这样，游戏中也一直在靠AI开门、AI爬梯子、跟随，等待AI跟上来这样的方式拖延时间
打不了汉化补丁，英文剧情虽说可以看下去，但啃不出什么有意义的点，剧情单薄
主题不错，幻想南韩入侵，人民和军队奋起反抗，但游戏剧情关联度有限
总有种“突突就完事了”的感觉
三、多人联机
应该是太久了，加之很多不足已经没人联机玩了
四、游戏可玩性
突突完就可以卸载了，没有开放世界，枪械种类很少

总而言之，游戏的优点比不上缺点，让我玩的很心塞，一直有种赶快完成任务然后卸载的感觉
第二代弥补了这一代诸如画面、可玩性、剧情等不足
所以，例行来个差评",不推荐
真的很垃圾 各种问题 打上补丁各种错误,不推荐
这游戏有BUG吗？我怎么没遇到过的？11年的游戏还是不错的，任务不知道干嘛，任务都有提示的把字幕打开看字幕，还不知道，就去查英文字典,推荐
很有意思的游戏，虽然总体游戏模式是模仿的老使命召唤，但是剧情设定很新颖，玩法丰富，流程紧凑，而且大场面很震撼。,推荐
"免费获取的产品

这次是免费领取的，很快的打完了，感觉故事太勉强，带入的不够到位，大概是感觉游戏故事作者过于煽情和制造画面了，游戏中打击感还好，节奏也很紧凑，综合下来还是好的地方多",推荐
我没有见过比这更垃圾的fps游戏,不推荐
"无中文就算了，连英文字幕都没有
真是一场酣畅淋漓的吃史",不推荐
真的垃圾，声音还丢失，莫名其妙死，敌人各个都是神枪手。COD味太浓了，关键是做的还垃圾，国产的光荣使命都比这个强,不推荐
"游戏性不如使命召唤系列。
敌人特别傻。美国居然被这帮人打下也真是耻辱。",不推荐
莫名其妙的卡鼠标无法转向,不推荐
"手感奇怪就算了，但是为什么进个门要队友先进去我才能进去？队友在后边又贼磨蹭，往往要在门前等上十秒。
剧情，什么玩意哦，看到家园被毁人被杀的那一段，我的心里毫无波澜。
这都什么人物塑造？
对不起，第一次差评。",不推荐
"免费获取的产品

优点想不到什么突出的
缺点倒是挺多：蜜汁键位提示，耳晕目眩的特效，较差的设计感，还有ESC+CTRL不能切出，必定卡住。",不推荐
蛋疼的操作设置，优化堪比吃鸡。。,不推荐
"不得不说...确实...有点烂...
缺点真的太多了，只能说我真的不想再玩一次了。",不推荐
"辣鸡游戏
设置Very High + 1080P瞬间报错闪退
没有中文",不推荐
"免费获取的产品

CG有声音，过了CG就彻底安静了，开始以为角色是聋子，退出验证完整重进，还是没声音。上网搜了一下，原来网上下载的硬盘版盗版会有这个问题，可我这个不是盗版啊，也从来没下过这个游戏
垃圾游戏卸载了",不推荐
补测评，很早前通关的一直没写，国土防线1感觉作为射击游戏还是中规中矩的吧，没有太大的特点，但又不失爽快，2代简直了，玩到一半就玩不下去了,推荐
"免费获取的产品

没通，4/10",不推荐
"抄袭CF

+有创意的多人游戏（需要蓄点买技能
+有训练模式
+武器多样化的自定义

-DLC喷子太棍
-单人剧情短CRY
-鬼服",不推荐
"这个游戏是一早发预售就关注了，只是觉得朝鲜打世界有点狗血。主要是冲着深银的牌子。买了就后悔了。

勉强打了单机就在没玩过，联机服务器PING太高了，就是高PING也没有几个服务器有人。

失败的游戏，除了宣传广告任务头像很酷，预告片很酷。游戏整个都很一般。当然这是我早期买的正版游戏，还没有经验。

有兴趣的朋友可以趁打折玩玩，这两天正打折那，呵呵，为多人联机凑凑人气。

除了这个头像一直用着，其他就呵呵了。


=============================================

更新，

已经不用这个头像了，发现很多逗逼使用这款游戏的头像。可是他可能根本都没玩过这款游戏。",不推荐
就因为霰弹枪不能装弹中途停下来射击就应该给差评了，还有这难度我也不想说了,不推荐
日了狗了 是谁做这游戏。这么多射击游戏里我从来没见过这么恶心的游戏，动作巨僵硬，我还以为是我设置问题，找了半天也没照出来是哪问题，走路跑步就像刚打完麻药反应迟钝的要死,不推荐
"这是一个 不说话.遥控小能手.捅菊花.Jacobs 和 无敌.技术男.手滑党.Hopper在 无敌.急脾气.正面刚.Conner 和 无敌.近战绞杀. 略无存在感.Rianna的带领下一路捅侵略者菊花过关的类COD游戏
玩了单机部分没有任何想玩联机部分的欲望
准星提示居然是击中而不是击杀....",不推荐
没中文，玩起来很吃力。,不推荐
没有汉化，只能边看攻略边玩，单人剧情很短，就是无脑突突突，脑洞很大但是很没意思,不推荐
"我们需要中文（加长版26种语言）
Χρειαζόμαστε κινέζικα
We need Chinese
Ne kemi nevojë për kinezisht
Nous avons besoin du chinois
Pêdiviya me çînî ye
Sidinga isiChinese
Kinahanglan namon ang Chinese
Tinoda Chinese
نحن بحاجة للصينيين
Kailangan namin ng Intsik
Nos postulo Sinica
Sidinga ama-chinese
Waxaan ubaahanahay Shiinaha
Մեզ չինական է պետք
እኛ ቻይንኛ እንፈልጋለን
Tarvitsemme kiinalaista
Mums vajag ķīniešu
हामीलाई चिनियाँ चाहिन्छ
Ба мо чинӣ лозим аст
Anyị chọrọ China
Çin dilinə ehtiyacımız var
Wy hawwe Sineesk nedich
ພວກເຮົາຕ້ອງການຄົນຈີນ
Vi trenger kinesere
మాకు చైనీస్ అవసరం
",不推荐
"免费获取的产品

玩了半小时差点吐了，镜头太晃眼。。。。。。。。。。。。。。。、",不推荐
求v1.5版本 汉化 。。。。。如果 这样还不如 去 某D下载 。。。,不推荐
"

免费领了之后打了3大妈的汉化，直接乱码了，有谁能帮我解决吗",推荐
"

通关打卡。差评是指用2020年的眼光来看，已经不值得入手了。
单人流程不长，3小时多一点搞定。体验下来各个方面都比不上同时期的使命召唤。
游玩过程中：
1.遇到一次跳出；
2.遇到一次队友卡门，被我用身体拱回正路；
3.遇到几次AI迷惑行为；
不过有一说一，这辣鸡游戏每关还都能搞点新花样，这个倒是值得夸一波。",不推荐
