season,week,actual_eliminated,simulated_eliminated,is_correct
11,6,"['Audrina Patridge', 'Audrina Patridge', 'Audrina Patridge', 'Audrina Patridge', 'Audrina Patridge', 'Audrina Patridge', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy']",Audrina Patridge,True
11,7,"['Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Rick Fox', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy']",Rick Fox,True
11,8,"['Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Kurt Warner', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy']",Kurt Warner,True
11,9,"['Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy', 'Brandy']",Bristol Palin,False
12,1,"['Mike Catherwood', 'Mike Catherwood', 'Wendy Williams', 'Wendy Williams', 'Wendy Williams', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Petra Nemcova', 'Petra Nemcova', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Romeo', 'Romeo', 'Romeo', 'Chris Jericho', 'Romeo', 'Romeo', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Romeo', 'Romeo', 'Romeo', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio']",Mike Catherwood,True
12,2,"['Mike Catherwood', 'Mike Catherwood', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Wendy Williams', 'Wendy Williams', 'Wendy Williams']",Mike Catherwood,True
12,3,"['Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Wendy Williams', 'Wendy Williams', 'Wendy Williams', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova']",Romeo,True
12,4,"['Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Sugar Ray Leonard', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson']",Sugar Ray Leonard,True
12,5,"['Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Petra Nemcova', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson']",Petra Nemcova,True
12,6,"['Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Chris Jericho', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson']",Chris Jericho,True
12,7,"['Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Kendra Wilkinson', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio']",Kendra Wilkinson,True
12,8,"['Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo', 'Romeo']",Ralph Macchio,True
12,9,"['Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio', 'Ralph Macchio']",Ralph Macchio,True
13,1,"['Metta World Peace (Ron)', 'Elisabetta Canalis', 'Elisabetta Canalis', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Chaz Bono', 'Chaz Bono', 'Carson Kressley', 'Chaz Bono', 'Chaz Bono', 'Carson Kressley', 'Chaz Bono', 'Chaz Bono', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'Kristin Cavallari', 'Kristin Cavallari', 'Kristin Cavallari', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips']",Metta World Peace (Ron),True
13,2,"['Elisabetta Canalis', 'Elisabetta Canalis', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Kristin Cavallari', 'Kristin Cavallari', 'Kristin Cavallari', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono']",Elisabetta Canalis,True
13,3,"['Kristin Cavallari', 'Kristin Cavallari', 'Kristin Cavallari', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono']",Kristin Cavallari,True
13,4,"['Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips', 'Chynna Phillips', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono']",Chynna Phillips,True
13,5,"['Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'Carson Kressley', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono']",Nancy Grace,True
13,6,"['Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono', 'Chaz Bono']",Hope Solo,True
13,7,"['David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'David Arquette', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo']",David Arquette,True
13,8,"['Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Nancy Grace', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo']",Nancy Grace,True
13,9,"['Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo', 'Hope Solo']",Hope Solo,True
14,1,"['Melissa Gilbert', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Martina Navratilova', 'Martina Navratilova', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Roshon Fegan', 'Sherri Sheperd', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Roshon Fegan', 'Sherri Sheperd', 'Gladys Knight', 'Jack Wagner', 'Sherri Sheperd', 'Sherri Sheperd', 'Jack Wagner', 'Jack Wagner', 'Roshon Fegan', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White']",Gavin DeGraw,True
14,2,"['Martina Navratilova', 'Martina Navratilova', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Jack Wagner', 'Jack Wagner', 'Jack Wagner', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Sherri Sheperd', 'Sherri Sheperd', 'Sherri Sheperd', 'Sherri Sheperd', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan']",Martina Navratilova,True
14,3,"['Jack Wagner', 'Jack Wagner', 'Jack Wagner', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Sherri Sheperd', 'Sherri Sheperd', 'Sherri Sheperd', 'Sherri Sheperd', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos']",Jack Wagner,True
14,4,"['Sherri Sheperd', 'Sherri Sheperd', 'Sherri Sheperd', 'Sherri Sheperd', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight']",Sherri Sheperd,True
14,5,"['Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Gavin DeGraw', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight']",Gavin DeGraw,True
14,6,"['Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight', 'Gladys Knight']",Roshon Fegan,True
14,7,"['Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Jaleel White', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos']",Jaleel White,True
14,8,"['Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Melissa Gilbert', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan', 'Roshon Fegan']",Melissa Gilbert,True
14,9,"['Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos', 'Maria Menounos']",Katherine Jenkins,False
15,1,"['Pamela Anderson', 'Pamela Anderson', 'Pamela Anderson', 'Pamela Anderson', 'Pamela Anderson', 'Pamela Anderson', 'Pamela Anderson', 'Pamela Anderson', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Helio Castroneves', 'Drew Lachey', 'Helio Castroneves', 'Drew Lachey', 'Drew Lachey', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Helio Castroneves', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith']",Pamela Anderson,True
15,2,"['Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Joey Fatone', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Kirstie Alley', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Drew Lachey', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Emmitt Smith', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Helio Castroneves', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Apolo Anton Ohno', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Gilles Marini', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin', 'Bristol Palin']",Joey Fatone,True
